stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Radial_glia,T_cell
21Day,1.34,0,0,18.74,1.34,25.43,0,1.34,1.34,1.34,26.77
3Month,0,0.64,0.64,0.32,0.64,1.28,0.32,0,0,0,6.08
22Month,0,0,0,0,0,2.73,0.55,0,0,0,4.92
