stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,20.43,4.09,0,28.6,4.09,0,0,0,0,0,0,32.69,0,0,0,0,4.09,0,8.17,61.3,0,0,0,0,306.48,523.06,0,0,49.04,0,0,0,0,0,0,0,0
72hpf,55.63,5.35,0,19.26,4.28,37.44,0,0,0,1.07,0,1.07,0,0,0,0,11.77,65.26,12.84,80.23,0,4.28,0,0,5032.3,438.61,3.21,3.21,110.19,1.07,0,37.44,5.35,1.07,10.7,0,0
21Day,17.4,2.68,1.34,24.09,2.68,38.82,0,0,0,0,0,0,0,0,2.68,4.02,1.34,29.45,12.05,64.25,0,0,4.02,0,1094.92,133.85,0,2.68,33.46,16.06,0,8.03,4.02,10.71,0,0,5.35
3Month,0,5.12,1.28,3.52,0.32,0,0.64,6.08,1.28,6.4,0,0,6.08,1.28,0.64,2.24,0.64,1.28,2.88,47.99,63.35,0,2.56,0.64,6.72,1.28,0.64,0,0.64,0.96,4.48,0,0,0,0.32,2.24,0.64
22Month,0,8.75,0.55,2.73,0,0,0,3.83,1.64,4.92,0.55,0,38.27,1.64,0.55,2.19,0,0.55,5.47,36.08,13.12,1.09,0.55,0,11.48,3.28,1.64,0,0,0.55,12.03,0,0.55,0,0,0.55,0
