stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,6.69,0,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0,0.64,3.2,17.6,0.64,0.32,25.28,1.28,5.12,10.88,0.64,117.1,0.32,1.92,3.52,3.52,2.24,1.92,0,2.88,0,2.88,0.64,0.32,2.24,0.64
22Month,0,0,2.19,2.19,0,0,6.01,1.09,10.39,1.64,0.55,61.77,0,0.55,1.64,0,0,0,0,0,0,0,0,0,0,0.55
