stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,1.07,0,0,0,0,0,0,0,1.07,10.7,0,1.07,4.28,0,0,33.16,2.14,2.14,0,1.07,0,2.14,1.07,0,0,0,0
21Day,0,1.34,0,8.03,2.68,0,0,0,2.68,0,1.34,0,1.34,1.34,0,6.69,0,0,0,25.43,0,5.35,0,1.34,6.69,0,0,1.34,0,0,0
3Month,0,0.32,0.32,8.64,0,0.32,0.64,0.96,8.64,0.64,0,2.24,0,0.64,0.64,1.28,0,0.32,0.32,0.32,0,0.96,0,0,0.64,7.04,0,0,0,2.88,0.96
22Month,0,1.09,0,1.09,0,0.55,1.64,1.64,63.96,1.09,1.09,4.92,0,1.09,2.19,3.28,1.09,0,0,1.09,0,3.83,0.55,0,0.55,1.64,0,0,0.55,0,1.09
