stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,53.12,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,4.28,1.07,0,0,0,0,0,0,0,0,11.77,4.28,1.07,0,0,0,12.84,12.84,0,0,7.49,0,0,2.14,1.07,0,0,0,0,0
21Day,4.02,0,0,13.39,13.39,0,1.34,0,1.34,1.34,0,0,0,9.37,5.35,9.37,0,4.02,0,20.08,12.05,0,1.34,1.34,4.02,0,1.34,1.34,1.34,2.68,0,0,1.34
3Month,0,1.28,0.32,16.64,0,0.32,0,0,5.76,9.28,1.92,6.08,0.96,5.76,4.48,2.88,0.32,1.28,1.6,0,0,0.64,0,0.64,0.32,1.6,0.32,0,0,0.32,2.56,0.64,2.24
22Month,0,0.55,0.55,4.92,0,0,0,0.55,6.01,27.33,1.09,6.56,0,1.64,2.19,0.55,0,0.55,0,0,0,0,0,0.55,0,1.09,1.09,0.55,0,0,1.64,0,1.64
