stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hatching_gland,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,8.17,0,4.09,4.09,16.35,0,8.17,57.21,0,4.09
72hpf,0,0,0,0,0,0,0,2.14,0,1.07,0
21Day,0,0,1.34,0,0,0,1.34,0,0,0,0
