stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,2.68,0,1.34,4.02
22Month,1.09,0.55,7.11,0.55,0.55,0.55,0,0,0.55,0
