stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,8.17,12.26,85.81,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,1.07,1.07,1.07,11.77,3.21,2.14,0,0,0,0,0,0
21Day,2.68,2.68,1.34,1.34,1.34,0,0,1.34,4.02,10.71,4.02,1.34,1.34,0,0,1.34,1.34,0
3Month,0,0.32,0,0,0,0.64,0,0.32,0.32,0,0,0,0,0.32,0,0,0,0.32
22Month,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0
