stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,2.14,4.28,0,0,1.07,48.14,0,1.07,0,0,1.07,0
21Day,2.68,0,0,0,0,0,0,0,0,0,4.02,0,0,0,14.72,1.34,0,0,2.68,0,0
3Month,0,0,1.92,0,0.32,1.92,0.32,0.32,0.32,0.32,0,0.32,0,0,1.28,0,0,1.6,0,0,0.32
22Month,0.55,0.55,0,0,2.73,11.48,0,0,0,2.73,0,0,1.09,0.55,2.19,0,0,0.55,0,0,0
