stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,2.14,1.07,1.07
21Day,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0,0,0,0,0.32,0,0,0
22Month,0,4.37,0.55,0.55,1.09,0,0,0,0
