stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,2.14,1.07,0,0,0,0,0,0,6.42,5.35,0,0,0,0,0,0,53.49,7.49,0,0,3.21,0,0,2.14,0,0,0,0,0
21Day,0,0,4.02,1.34,0,0,0,0,0,0,1.34,8.03,2.68,2.68,0,5.35,0,0,5.35,0,12.05,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0
3Month,0,0.64,3.84,5.76,0,0,0.96,1.28,4.8,3.52,0,47.67,3.2,1.92,1.6,23.36,4.16,0,0.64,18.88,0.32,0,0.32,0,0,0.96,0.32,51.19,0,0.32,0.32,19.52,1.6
22Month,0,0.55,3.83,3.28,0,0,1.64,2.73,9.29,1.09,0.55,114.25,1.09,0,0.55,16.4,1.09,0.55,0.55,0.55,0.55,0,0,0.55,0,0.55,0,43.73,0,0,0,0,0
