stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,0.96,0,0,0.96,0,0.32,0,0.96,9.92,0,0.32,0.32,0,0.64,0
22Month,0,0,0,0,3.28,0.55,0,1.64,0.55,16.95,0.55,0,0,0,0,1.09
