stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,1.28,117.42,0.32,0.96,27.2,2.24,0.32,10.56,2.24,0.32,133.1,5.76,7.36,4.16,1.92,0,2.24,0.96,1.28,0,0.64,0,0,8,0,1.6,1.92,4.8
22Month,0.55,1.64,21.87,0,1.09,9.84,2.73,0,11.48,0,0.55,99.49,2.19,1.64,2.19,8.2,0.55,0.55,0,0,0.55,0,0.55,0,12.57,0.55,0,0,1.09
