stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,20.43,4.09,69.47,0,4.09,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,1.07,2.14,0,5.35,3.21,9.63,0,2.14,1.07,0,0,0
21Day,5.35,0,2.68,0,9.37,5.35,0,0,0,1.34,0,4.02,1.34,1.34,2.68,1.34,0,0,0,0,1.34,0
3Month,0,0,1.92,0,0,0,0.64,0.96,0.64,0,0,0.96,0.32,0.64,0,0,0,0,0,9.6,0,0.32
22Month,0,0.55,0.55,0,0,0,0.55,1.09,0.55,0,0,0.55,0.55,0,0,0,0.55,0,0,1.64,0,0
