stage,Endothelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,4.09,12.26,0,0,0,0
72hpf,1.07,0,0,1.07,19.26,2.14,1.07,0,0
21Day,1.34,0,0,0,8.03,1.34,0,0,2.68
3Month,0,0.64,0.32,0,0,0,0,0.32,0.32
22Month,0,1.64,0,0,0,0,0,0,0
