stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,3.21,0,0,0,0
21Day,0,0,0,0,0,0,2.68,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0.32,0.64,0,0.32,0,0.64,0,0,0,0.64,5.12,0,2.24,0,0,0,0,0,2.24,0.32,0
22Month,0,0.55,0,6.01,2.19,2.19,329.63,8.2,2.73,3.83,0,1.64,2.19,0.55,2.73,1.09,0.55,0.55,0,1.09,0.55,0,1.09
