stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,8.17,126.68,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,5.35,0,7.49,0,0,0,0,131.58,82.37,0,1.07,4.28,0,4.28,5.35,4.28,0,0,0
21Day,1.34,1.34,2.68,1.34,1.34,0,0,0,0,0,1.34,1.34,10.71,0,0,2.68,0,34.8,24.09,0,0,2.68,0,1.34,5.35,1.34,0,0,1.34
3Month,0,0,0.96,0,0,0.32,0.64,7.68,0.32,0.32,0.64,1.28,3.52,0.64,0,0.32,0.32,0.64,0,0,0,0,1.92,0.32,0,0,1.28,0.64,0.96
22Month,0,0.55,0.55,0,0,0,1.64,20.77,0,2.19,0.55,0,1.64,0,1.64,0,0.55,0.55,0,0.55,0,0,1.09,0.55,0,0,0,0.55,0.55
