stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,48.19,4.02,1.34,0,0,13.39,0,0,0,4.02,0,1.34,25.43,1.34,14.72,692.02,0,20.08,2.68,0,0,5.35,1.34,0,2.68,0,5.35,0,0
3Month,0,0,0,6.72,0,0,0,0,2.56,0,1.28,1.28,0,1.6,0,0.32,1.92,0.32,1.6,0.64,2.56,0,0.32,0.32,0,0.96,45.11,0,0,0,21.12,1.28
22Month,0,0.55,0.55,6.56,0,0,0.55,1.64,8.75,0.55,11.48,1.09,0,24.05,0,0,4.37,4.92,50.84,0,0,0.55,0,0,0,0,14.21,0,0.55,0,0,1.09
