stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68
3Month,1.28,0,1.28,0.96,0.96,0.64,0.96,0.96,0,0,0.32,0.64,0,0.96,0.32,16.96
22Month,0.55,0,0,2.73,0.55,0,0,1.09,0.55,0.55,0,0,0,0,0,1.64
