stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,4.09,0,0
72hpf,1.07,0,1.07,2.14,2.14,0,0,0,2.14,2.14,230.01,7.49,7.49,0,0
21Day,0,4.02,0,1.34,0,0,0,1.34,0,1.34,60.23,0,1.34,0,1.34
3Month,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0
