stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,4.28,5.35,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,6.69,0,0,1.34,0,0,0,1.34,0,0,0,0,0,5.35,1.34,0,0,0,0,0,2.68,0,6.69,0,0,0,0,0,0
3Month,0,0.32,0.96,8.96,0,0.64,0,3.52,2.88,0,8.32,2.24,0,30.72,2.24,3.52,4.48,1.28,0.64,0,0.32,0.32,0,0,0.32,0,2.24,3.52,0.32,1.28,400.58,4.16
22Month,0,0.55,0.55,1.64,0,0,0,2.73,1.09,0.55,8.75,0,0.55,27.33,0.55,0,2.73,1.09,0,0,1.09,0,0,0,0,0,0,1.64,0.55,0,3.83,1.64
