stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,9.37,5.35,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.96,3.52,0.96,35.19,0.96,0.96,0,11.52,208.61,0,38.07,1122.06,3.84,18.24,1.6,390.34,47.03,14.08,4.16,0.64,3.2,1.6,0.32,0,1.92,2.24,0,0.96,3.84,3.2,4.48,0.64,0,2.88,2.88,49.27
22Month,3.83,9.84,4.37,37.72,0.55,33.89,2.19,6.56,2106.26,1.09,83.09,5213.99,24.6,21.32,1.64,102.77,319.25,40.45,1.09,4.92,6.56,0,0.55,1.09,3.28,4.92,0.55,0.55,0,0,1.09,1.64,0.55,1.09,0,36.08
