stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,0,93.99,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,3.21,0,0,0,3.21,0,13.91,1.07,5.35,1.07,0,0,0,16.05,3.21,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,0,5.35,4.02,0,1.34,0,0,0,14.72,0,4.02,5.35,12.05,0,5.35,0,40.16,6.69,0,0,0,6.69,2.68,2.68,0,0,0,0,1.34,0,0,0,1.34,0,0,4.02
3Month,0.64,3.84,22.72,0.32,0,0,0.64,2.24,70.39,0,50.55,96.94,0.32,9.28,2.56,2.88,43.19,1.6,0.64,0,0.32,37.11,0,0,0.64,0.32,0,0,2.88,0.64,5.12,0.32,0,1.92,3.2,2.56
22Month,1.64,3.83,14.21,0,0,1.64,0,1.09,108.78,1.64,185.86,36.08,0,10.39,1.64,0.55,29.52,2.19,0.55,1.64,0,1.09,0,0,0,0,1.64,0,0.55,0,1.64,0.55,0,0,0,0.55
