stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,2.24,0.64,0.32,0.64,2.88,1.28,0,1.6,0.64,0.32,0.64,0,0.32,1.28,0.64,112.94
22Month,0.55,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0
