stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,8.03,0,0,0,1.34,0,0,1.34,0,0,5.35,1.34,0,1.34,0,0,0,0,0,0,1.34,5.35,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.96,1.6,20.48,130.54,0,2.24,0,182.69,6.72,0,31.04,35.51,0.32,665.49,1.28,5.76,35.19,4.8,1.6,0.32,130.22,2.24,0.64,0,15.04,1.6,0,0.32,7.68,0.32,7.04,0,0.32,0.32,1.28,9.28,19.2
22Month,0.55,3.83,59.04,94.57,0,1.64,1.09,145.41,16.4,1.64,84.18,101.68,0,1342.58,0,0.55,17.49,7.65,0.55,4.37,79.26,0.55,1.64,0,32.25,1.64,0.55,0,2.19,0,6.01,1.09,0,0.55,0,0,9.84
