stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,3.21,2.14,0,0,0,0,0,0,0,0,0,1.07,11.77,0,5.35,1.07,0,0,7.49,9.63,1.07,0,3.21,0,0,0,0,0,0
21Day,2.68,0,9.37,0,0,2.68,1.34,0,0,1.34,0,2.68,0,1.34,1.34,1.34,5.35,1.34,1.34,0,0,4.02,0,0,0,0,0,1.34,0,0,0
3Month,0,0,6.08,0,0.32,0,1.6,1.6,0,8.32,0.32,0.32,3.52,0.32,0.64,0.96,0.32,0,0.64,0.32,0.32,0.64,0,0,0,0.32,3.84,0,0.64,1.6,3.52
22Month,0,1.09,1.64,0,0,0,0,2.73,1.09,36.08,0,0.55,2.73,0,1.09,1.64,1.64,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,1.09
