stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,4.09,0,0,4.09,0,0,0,8.17,12.26,0,0,12.26,4.09,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,2.14,0,1.07,0,3.21,0,0,0,1.07,0,0
21Day,1.34,0,0,1.34,2.68,0,0,0,1.34,0,1.34,1.34,0,1.34,0,0,0,0,0,0
3Month,0,0,0.32,2.88,0,0,0,0.96,1.6,0.64,0.32,0.64,0.32,0,0,0,26.24,0,0.32,1.6
