stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,4.09,12.26,0,0,0,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,0,0
72hpf,5.35,2.14,1.07,1.07,0,0,0,0,0,6.42,1.07,66.33,17.12,2.14,4.28,0,5.35,1.07,1.07
21Day,6.69,0,0,0,1.34,0,0,0,0,6.69,1.34,17.4,6.69,0,1.34,1.34,0,0,0
22Month,0,0,0.55,0,0,0.55,3.28,0.55,0.55,0,0,0,0,0,0,0,0,0,0
