stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,20.43,20.43,171.63,0,0,0,0,0,4.09,0,0,0,24.52,40.86,8.17,980.74,0,0,0,20.43,290.13,0,0,0,8.17,0,0,0,0,4.09,0,0
72hpf,7.49,0,9.63,1.07,4.28,0,0,1.07,0,0,0,0,2.14,36.37,0,11.77,0,2.14,0,470.71,16.05,0,3.21,0,12.84,4.28,0,5.35,1.07,0,0,0
21Day,4.02,2.68,21.42,0,4.02,1.34,0,0,0,1.34,1.34,1.34,1.34,6.69,0,10.71,1.34,0,0,262.35,8.03,0,1.34,0,10.71,13.39,0,6.69,2.68,0,0,2.68
3Month,0,0.32,0.96,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0.96,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0
22Month,0,0,0,0,0,0,0.55,0,0,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0.55,0.55,0,0,0,0
