stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,16.35,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,4.28,3.21,0,0,0,0,0,2.14,8.56,1.07,4.28,0,0,1.07,522.06,6.42,0,6.42,7.49,0,0,4.28,0,0,1.07,0,0
21Day,4.02,0,4.02,1.34,2.68,1.34,0,0,0,2.68,0,1.34,4.02,0,0,0,299.83,6.69,1.34,6.69,4.02,5.35,0,1.34,1.34,2.68,0,0,2.68
3Month,0,0,0.96,0,0,0,0,0.96,0.64,0.64,0,0.32,0,0,0,0,0,0,1.28,0,0,0,0.64,0,0,0,0,0,0.32
22Month,0,0,0.55,0,0,0,0,1.64,1.09,0,0,0,0,0.55,0.55,0,1.09,0,0,0,0,0,0,0.55,0,0,0,0.55,0
