stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,1.07,9.63,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,24.61,5.35,2.14,1.07,0,1.07,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,0,0,0,1.34,1.34,4.02,0,0,0,20.08,0,1.34,0,0,1.34,1.34,0,0
3Month,0.32,0.32,3.52,0,0.64,1.92,0,2.88,0.96,0,1.92,0,0.64,0,0.96,1.28,0.32,0.96,0.64,0.32,0.64,0.32,0.32,0,0,0.64,0.32
22Month,4.37,0,0.55,0,1.09,1.64,2.73,19.13,0,0.55,2.73,0.55,1.64,1.64,4.37,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0
