stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,8.56,0,0,0,0,0,0,0,1.07,0,2.14,3.21,0,3.21,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,6.69,6.69,0,0,1.34,1.34,0,0,1.34,10.71,0,0,0,4.02,10.71,0,0,0,1.34,1.34,0,0,0,0,0,1.34,0,1.34,0,16.06
3Month,0.32,0.96,0,9.6,0,0.32,0,3.84,25.28,0,4.16,15.68,0.64,3.84,0,3.2,2.24,5.76,9.92,0,1.28,0.32,0,1.28,0.64,0,0.32,0.32,0,0.32,0.32,0.64,19.84
22Month,0,0.55,0.55,10.93,0,2.73,0.55,4.37,10.39,0.55,36.08,28.43,1.64,3.83,1.09,0,8.2,8.2,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,12.03
