stage,Endothelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
72hpf,0,0,1.07,0,0,14.98,1.07,0,0
21Day,0,1.34,0,0,1.34,14.72,0,1.34,0
3Month,0.32,0,0,0.32,0,0,0,0,0.32
