stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,23.54,1.07,8.56,0,0,0,0,0,0,0,0,0,2.14,1101.88,3.21,119.82,0,0,0,21.4,11.77,0,0,0,12.84,1.07,0,2.14,1.07,1.07,2.14,0,0
21Day,2.68,1.34,0,28.11,0,4.02,0,0,0,0,0,0,0,2.68,2.68,0,303.85,1.34,78.97,0,0,1.34,8.03,5.35,0,0,0,2.68,2.68,1.34,0,1.34,2.68,1.34,0,0
3Month,0,1.28,0.32,14.72,0,0,0,0.32,1.28,0.96,0,9.92,2.88,0.32,6.08,0.32,2.24,1.6,134.38,0.64,0.32,0.96,0.32,0.32,0.32,0,0,0,0.32,4.48,0,0,0,0.32,0.32,0.96
22Month,0,1.64,0.55,20.23,0,0,1.64,0,0.55,3.83,2.19,61.77,0,0,9.29,1.64,1.64,3.83,89.65,0,1.09,1.09,0.55,0,1.09,0.55,0.55,0,0.55,8.75,1.64,0.55,0,0,0,1.09
