stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,16.35,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,21.4,13.91,6.42,0,0,0,0,0,0,0,0,1.07,19.26,1.07,6.42,2.14,0,0,434.34,20.33,9.63,0,5.35,0,0,6.42,0,1.07,2.14,0,0,0
21Day,1.34,0,0,26.77,10.71,16.06,4.02,0,0,0,0,0,1.34,4.02,4.02,8.03,2.68,9.37,0,6.69,0,369.44,10.71,4.02,4.02,8.03,12.05,0,1.34,4.02,5.35,0,0,0,0
3Month,0,0.32,0.32,16.64,4.16,0,0,12.16,0.32,0,9.92,2.24,0,2.24,0.32,1.92,0.96,1.6,0,0.64,0.32,13.76,0.96,31.04,0.96,0,0.64,9.28,0.32,0,0,0,0.32,4.8,1.6
22Month,0,2.19,0,10.93,0.55,0,0,6.56,2.19,0,15.31,1.09,0.55,2.19,0,3.28,1.64,3.28,0,2.73,0,18.04,0,42.09,2.19,0.55,0,3.83,5.47,0.55,0,0,1.09,0,0.55
