stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,1.07,0,0,1.07,4.28,13.91,0,3.21,1.07,2.14,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,2.68,0,2.68,0,1.34,0,1.34,0
3Month,0,0,0.96,0,0,0,1.92,0.32,0.32,0.32,0,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0.32
22Month,0,1.09,0.55,0,1.09,0.55,17.49,0,1.09,1.09,0.55,0.55,0.55,0,0,0,0.55,0,0,1.64,0,0,0
