stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,32.09,2.14,0,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0,4.02,0,0,0,16.06,2.68,0,0,1.34,0,0,0,0
3Month,0,0,0.96,0,0.64,0.32,4.48,0.64,0,0.96,0.32,0.32,0.32,0.64,0,0,0.32,0,0,0.32,0.32,0,0,0,0.64,0.64
22Month,0,0.55,0.55,0,0,0.55,19.68,2.19,0,1.09,0,0,0,3.28,0.55,0.55,0,0,0,0,0,0.55,0,0.55,0,1.09
