stage,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,0,0,0,1.07,1.07,0,0
21Day,4.02,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,0,1.34
3Month,13.44,0.96,0,0,0.64,0.32,1.92,0.64,9.92,0.32,0,1.28,0,0.32,0.64,0
22Month,0.55,0,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0
