stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,4.09,4.09,32.69,0,12.26,482.2,0,16.35,0,0,0,4.09,0,0
72hpf,4.28,1.07,1.07,1.07,2.14,0,0,0,0,0,0,1.07,4.28,0,12.84,0,16.05,20.33,0,2.14,0,0,2.14,3.21,0,0
21Day,6.69,1.34,1.34,0,1.34,0,1.34,0,0,1.34,0,0,0,0,12.05,0,1.34,12.05,0,2.68,0,0,1.34,0,0,0
3Month,0,0,1.6,0,0,0.32,0,0,0,0,0.32,0.32,0,0,0,0.32,0.32,0,0.32,0,0.32,1.92,0,0,0.32,0.32
22Month,0,0.55,0,0,0,0,0,0.55,6.56,0.55,1.09,0,0.55,0.55,2.19,0,0,0,0,0,0,6.01,0,0,0,0
