stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,122.59,20.43,0,183.89,0,0,0,0,0,0,0,4.09,0,0,4.09,16.35,57.21,16.35,894.92,4.09,0,12.26,138.94,3567.43,8.17,0,28.6,0,0,0,0,4.09,0,0,0
72hpf,53.49,5.35,0,25.67,1.07,18.19,0,0,0,0,0,0,0,0,3.21,46,43.86,2.14,298.47,0,12.84,1.07,910.39,503.87,1.07,2.14,161.54,1.07,0,180.79,2.14,4.28,0,0,0
21Day,54.88,2.68,2.68,12.05,0,9.37,0,2.68,0,0,1.34,1.34,0,0,5.35,0,8.03,0,115.11,0,26.77,1.34,69.6,81.65,0,0,61.57,6.69,0,18.74,2.68,1.34,0,0,1.34
3Month,0,0.32,7.36,8.32,0,0,0.32,0,4.16,0.64,0,4.16,1.6,0.32,21.44,0.32,1.6,2.24,10.88,0,85.75,0.64,0,0,0,0.32,0.96,0.32,31.36,0.32,0.32,0,0.32,7.68,1.28
22Month,0,0,6.01,7.11,0,0,0.55,0,3.83,1.64,0,8.75,0,0.55,20.77,0,0,2.19,6.01,0.55,68.88,0,0.55,0,0,0,0,0,20.23,0.55,0,0,0,0,2.19
