stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,8.03,0,0,1.34,0,5.35,2.68,0,0,1.34
3Month,0.64,14.08,0.32,0,0.32,0.32,0,0.64,0.32,1.6,3.84,0.32,4.48,0.32,1.6,0,0.32,0,0,0.32,0.32,0.32
22Month,0,0,0,0.55,0,0,19.13,0,0.55,1.09,0.55,0,1.09,0,0,0,0,0,0,0,0,0
