stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,5.35,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,5.35,0,0,0
3Month,0.32,2.24,0,0,0,4.8,0,0.64,0,0,0.32,0,0,0,1.92,0.32
22Month,3.28,2.19,0.55,1.09,0.55,13.12,0.55,0.55,0,0.55,0.55,4.37,0,0,13.67,0.55
