stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,8.17,4.09,8.17,0,0,118.51,4.09,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,1.07,0,1.07,6.42,0,2.14,0,32.09,13.91,4.28,0,0,0,0,0
21Day,2.68,0,5.35,5.35,2.68,1.34,1.34,1.34,5.35,0,1.34,0,0,0,6.69,13.39,10.71,4.02,0,1.34,1.34,0,0
3Month,0,0.96,0.64,0,0,0,0.96,0,0,0.32,0,0.96,0,0,0.32,0,0,0.32,0.96,0,0,0.32,0.96
22Month,0,0,1.09,0,0,0,8.2,0,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0
