stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0
72hpf,1.07,0,0,0,0,0,0,2.14,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,5.35,0,0,0,1.34,0
3Month,0,2.24,0,0,0.32,0,0.32,0.32,0,0,0,0.64,0
22Month,0,2.19,0.55,0.55,1.64,0.55,0,0,0,0.55,0,0,0.55
