stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,98.07,12.26,0,0,0,0,8.17,0,0,0,0,36.78,0,12.26,28.6,0,0,0,4.09,44.95,114.42,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,14.98,14.98,0,0,0,2.14,0,1.07,0,0,0
21Day,0,0,0,10.71,2.68,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,0,1.34,1.34,1.34,0,0
3Month,0,0,0,7.36,0,0,0,0,0,0,1.28,0,0,0,0.32,0.96,0,0.64,0,0,0.64,0,0,0,0,0.32,0,0,0.96,0,0,0.32,0
22Month,0,6.01,3.83,13.12,0,1.09,2.73,11.48,12.03,0,77.62,6.56,1.09,5.47,0.55,3.28,2.73,13.67,0.55,3.28,3.83,0.55,1.64,0,0.55,0.55,647.24,0,22.41,0.55,0,0,2.19
