stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,49.04,36.78,0,0,0,0,12.26,277.88,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,11.77,3.21,2.14,0,1.07,0,0,0,0,1.07,0,2.14,0,3.21,8.56,0,11.77,0,0,0,0,26.74,48.14,0,0,0,7.49,0,0,3.21,0,0,0,0
21Day,2.68,0,0,14.72,0,9.37,0,6.69,0,0,0,0,0,1.34,2.68,1.34,0,9.37,4.02,14.72,0,0,0,0,6.69,26.77,0,0,0,4.02,4.02,1.34,0,0,0,0,2.68
3Month,0.32,0.64,0.64,16.32,0.64,0,0.96,0,1.28,8.32,0,0,14.72,1.28,2.56,3.2,1.6,5.44,3.84,3.2,1.92,0,0.96,0.96,0.32,0.64,1.28,0.32,0,0.64,2.24,75.51,0.32,0.32,1.28,183.33,7.36
22Month,0,3.28,1.64,9.84,0.55,0,0,1.09,2.19,12.57,3.28,0,45.37,2.73,2.73,8.2,0,0,10.39,6.56,0,2.19,1.64,0,1.09,0,1.64,0.55,5.47,0,0,19.68,0,0,0.55,0.55,3.28
