stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,1.07,0,0,3.21,0,0,0,1.07,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,2.68,0,5.35,0,6.69,0,4.02,0,4.02,2.68,0,0,9.37,0,0,0,0
3Month,0,0.32,0,2.56,0.64,0,0,2.88,0.64,0.32,0.96,0.64,0.96,0.96,5.44,0.64,0.96,0.64,0,0,0.96,0,0,1.28,0,0.32,7.36,2.24,0.32
22Month,0,0.55,0.55,0.55,0.55,2.19,0.55,16.4,0,0,0.55,0,0,0.55,1.64,0,0,0,0,0,0.55,0.55,0.55,0,0.55,0,1.64,0,1.09
