stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,2.14,3.21,1.07,0,1.07,2.14,1.07,1.07,3.21,1.07,1.07,0,0,0,0
21Day,2.68,2.68,1.34,1.34,0,2.68,0,1.34,0,0,1.34,0,0,2.68,1.34,1.34
3Month,0,0.32,0,0,0.32,0,0,0.32,0,0,0,0,1.6,0,0,0
