stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,32.69,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,357.31,2.14,0,4.28,1.07,4.28,0,1.07,0,0,0,0,0,1.07,0,2.14,8.56,3.21,19.26,0,2.14,0,0,14.98,12.84,0,0,0,163.68,0,0,0,2.14,0,0,0
21Day,461.79,0,0,56.22,0,6.69,0,0,0,1.34,0,0,0,4.02,2.68,1.34,8.03,5.35,81.65,0,0,22.76,0,16.06,4.02,0,1.34,0,18.74,4.02,0,6.69,1.34,0,0,4.02
3Month,0.96,0,0.32,19.52,0,0,0.64,0.96,0.64,1.6,0,17.28,1.6,0,6.4,0.64,16.32,1.92,2.56,0.64,0,0.96,0.64,0.64,0,0.32,0,0,0.32,0,8.32,0,0,0.64,17.28,1.28
22Month,0,0,0.55,15.85,0,0,0,0,0,2.19,1.09,67.79,0.55,0,14.21,1.09,0.55,4.37,2.73,0.55,1.64,0,0,0,0,0.55,2.19,0.55,0,0,15.31,0,0,0,0,1.09
