stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,81.73,0,8.17,44.95,0,0,0,0
72hpf,3.21,2.14,0,0,0,0,2.14,3.21,1.07,1.07,9.63,3.21,3.21,0,3.21,0
21Day,1.34,1.34,1.34,0,0,0,4.02,0,13.39,1.34,1.34,2.68,0,0,0,1.34
3Month,0.64,0,0,0.32,0.96,0,0,0,4.16,0,0,0,0,0.64,0,0
22Month,1.64,0,0,0,8.2,0.55,0,0,13.67,0,0,0,0,0,0,0
