stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,2.68,1.34,5.35,2.68,0,0,0,0,0,0,0,0,0,0
3Month,0,0,17.28,0,0.32,1.28,0.96,0,3.84,0.96,0.32,7.04,0.96,2.56,0.32,0.64,0,0.64,0,0,0.64,0.32,1.28,0.32,1.28
22Month,1.64,1.64,8.2,1.09,0,2.73,3.28,2.73,28.97,1.09,1.09,19.13,0,2.73,1.09,2.19,0.55,0,0.55,0,0,0,1.64,0.55,0
