stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Muscle_cell,Neural_cell
24hpf,0,0,0,0,0,0,0,0,4.09
3Month,1.6,0.32,0.32,0,0.32,0.64,0,0.32,0.32
22Month,0,0,0,1.64,0,0,0.55,0,0
