stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,8.17,0,0,4.09,4.09,0,8.17,4.09,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0
21Day,1.34,1.34,0,1.34,0,0,2.68,0,1.34,0,1.34
3Month,0,0,0.64,0,0.32,0,0,0,0,0.64,0
22Month,0,0,0.55,0,0.55,0.55,0,0,0,0,0
