stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,1.07,0,0,11.77,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,8.03,78.97,0,4.02,0,1.34,0,0,22.76,0,1.34,0
3Month,0,2.24,0.32,3.84,0,0,1.92,0.96,0.64,0.32,1.6,0,0,10.88,41.59,9.6,1.6,0.32,0,0.32,0.64,1.6,0.96,3.52,0.64
22Month,6.01,0.55,0.55,1.09,0,0.55,0,3.28,1.09,0,0,0.55,0.55,2.19,28.97,0.55,1.64,0,0,1.09,0,0,0,0,0
