stage,Erythrocyte,Erythroid_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,12.26,0,16.35,0,0,0
72hpf,0,0,0,1.07,1.07,2.14,0,0
21Day,1.34,1.34,1.34,0,1.34,0,0,2.68
3Month,0,0,0.32,0,0,0,0.96,0
