stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,134.85,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,8.56,1.07,0,1.07,0,0,0,0,0,0,3.21,4.28,1.07,5.35,0,0,0,19.26,25.67,0,1.07,0,0,3.21,0,0,0,0
21Day,1.34,0,6.69,2.68,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,8.03,9.37,0,2.68,0,1.34,1.34,0,0,0,0
3Month,0,0.32,2.56,0,0.32,0,0,0.96,0,4.48,0.32,3.2,0,2.24,0.96,0.96,0,0,0.32,0.32,0,0.96,0,0.64,79.35,0.32,0,1.28,76.15,1.92
22Month,0,0.55,1.09,0,0,0,0.55,0,0.55,19.68,0,4.37,0,0,1.64,1.09,1.09,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0
