stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0
21Day,1.34,0,0,12.05,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,4.02,0,0,0,0,0,0,0,0
3Month,0.32,0.64,0.96,158.69,1.92,0,5.12,1.92,0,5.44,2.88,71.67,0.64,20.8,3.2,2.24,0.32,0,0.32,0.64,0.64,0,2.56,0.32,0.32,0.64,0.64,2.24
22Month,0,0.55,0.55,110.97,2.19,0.55,1.09,2.19,0.55,21.32,1.09,44.28,0.55,58.49,2.73,1.09,0,1.09,0.55,0.55,0.55,1.09,0.55,0,0,0,0,1.09
