stage,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,58.84,0,5.35,0
21Day,0,1.34,0,0,0,0,0,0
3Month,0,0,0.64,0.32,2.56,0.64,0,0.32
22Month,1.09,0,0,0,0,0,0,0.55
