stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,65.38,4.09,0,0,0,0,0,0,0,0,28.6,143.02,0,0,24.52,563.92,0,40.86,0,0,0,0,0,0
72hpf,0,0,7.49,1.07,0,1.07,0,0,0,4.28,0,4.28,0,43.86,0,0,14.98,18.19,1.07,102.7,0,0,28.88,1.07,1.07,0
21Day,2.68,1.34,8.03,0,2.68,5.35,0,2.68,0,26.77,0,1.34,5.35,74.96,0,2.68,5.35,16.06,1.34,89.68,4.02,0,20.08,0,9.37,12.05
3Month,0,0,0.96,0,0.32,24.96,0,0.96,1.28,3.84,0.32,0.32,11.52,17.28,53.43,1.28,0.64,0.64,0.32,1.28,0,0.64,0.32,0,0,5.12
22Month,0,0,0,0,0,4.92,0.55,2.19,0,2.19,0,0,3.83,13.67,3.28,0,0,0,0,0.55,0,0,0,0,0,0
