stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,8.17,0,0,0,0,0,0,0,0,24.52,4.09,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,3.21,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,2.14,1.07,4.28,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,2.68,2.68,0,0,0,0,0,1.34,0,0,0,0,4.02,0,2.68,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0.64,0.96,1.92,39.35,0.64,0,0.64,2.56,3.2,0.64,25.92,4.16,0.32,5.12,8,3.2,3.84,4.48,0.32,0,1.28,2.56,2.24,0,0.96,0.32,3.84,53.43,0.64,1.92,1.92,784.52,3.2
22Month,0,0.55,0.55,14.76,0.55,0,0,0,0,1.09,15.85,0.55,0,2.19,1.09,0,0.55,0,0,1.09,0,0,0.55,0,0,0,1.09,23.51,0,0,0,6.01,0
