stage,Cardiomyocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,4.09,4.09,0
21Day,1.34,0,0,2.68,0
22Month,0,0.55,0,0,0.55
