stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,2.14,0,0,0,0,0,0,0,7.49,1.07,4.28,0,0,33.16,3.21,0,0,0,0,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,2.68,0,1.34,0,2.68,5.35,1.34,0,8.03,2.68,0,1.34,1.34,0,1.34,1.34,0,0
3Month,0.32,1.6,0,0,0.64,1.92,0,0.32,0,0.32,0,1.28,0.32,0.32,0,0,0,0,0.32,0,0.32,0.32,0,0,0.32,0.32
22Month,0,0.55,0,0,0,0.55,0,6.01,0,0.55,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0.55
