stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
3Month,0,0.32,0,0.64,0,3.52,0,0.32,0,0.32,0.32,0.32,0,0,0,0.32,0.32,0,0.32,0
22Month,0.55,0,1.09,0.55,2.73,12.03,0.55,1.64,1.64,1.09,1.09,0,0.55,0,0,0,0,0.55,0,1.09
