stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0
72hpf,4.28,0,1.07,0,0,1.07,194.7,5.35,0,1.07,0,0,2.14,0
21Day,0,1.34,4.02,0,0,1.34,70.94,2.68,1.34,1.34,5.35,0,1.34,0
3Month,0,0,0,0.32,0.32,0.32,0,0,0,0,0,0.32,0,0.96
